NoName,PlayerID,Season,GameDate,Week,Team,Opponent,HeAy,Number,Name,Position,PositionCategory,Activated,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnYardsPerAttempt,PuntReturnTouchdowns,PuntReturnLong,KickReturns,KickReturnYards,KickReturnYardsPerAttempt,KickReturnTouchdowns,KickReturnLong,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,Interceptions,InterceptionReturnYards,InterceptionReturnTouchdowns,BlockedKicks,SpecialTeamsSoloTackles,SpecialTeamsAssistedTackles,MiscSoloTackles,MiscAssistedTackles,Punts,PuntYards,PuntAverage,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsLongestMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,ReceptionPercentage,ReceivingYardsPerTarget,Tackles,OffensiveTouchdowns,DefensiveTouchdowns,SpecialTeamsTouchdowns,Touchdowns,FantasyPosition,FieldGoalPercentage,PlayerGameID,FumblesOwnRecoveries,FumblesOutOfBounds,KickReturnFairCatches,PuntReturnFairCatches,PuntTouchbacks,PuntInside20,PuntNetAverage,ExtraPointsAttempted,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Safeties,FieldGoalsHadBlocked,PuntsHadBlocked,ExtraPointsHadBlocked,PuntLons,BlockedKickReturnYards,FieldGoalReturnYards,PuntNetYards,SpecialTeamsFumblesForced,SpecialTeamsFumblesRecovered,MiscFumblesForced,MiscFumblesRecovered,ShortName,PlayingSurface,IsGameOver,SafetiesAllowed,Stadium,Temperature,Humidity,WindSpeed,FanDuelSalary,FantasyDataSalary,OffensiveSnapsPlayeds,DefensiveSnapsPlayeds,SpecialTeamsSnapsPlayeds,OffensiveTeamSnaps,DefensiveTeamSnaps,SpecialTeamsTeamSnaps,SeasonType,DraftKingsSalary,VictivSalary,TwoPointConversionReturns,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,YahooSalary,FantasyPointsYahoo
10,13415,2014,2011-09-11,1,ARI,CAR,HOME,21,Patrick Peterson,CB,DEF,Y,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,98,49,1,89,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,1,1,DB,0,2055760,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P.Peterson,Grass,TRUE,0,University of Phoenix Stadium,70,40,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
11,12263,2014,2011-09-11,1,ARI,CAR,HOME,22,Crezdon Butler,CB,DEF,Y,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,0,2055766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C.Butler,Grass,TRUE,0,University of Phoenix Stadium,70,40,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
12,12140,2014,2011-09-11,1,ARI,CAR,HOME,23,Hamza Abdullah,SS,DEF,Y,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,0,2055767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H.Abdullah,Grass,TRUE,0,University of Phoenix Stadium,70,40,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
13,7044,2014,2011-09-11,1,ARI,CAR,HOME,24,Adrian Wilson,SS,DEF,Y,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,4,0,0,0,0,DB,0,2055762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A.Wilson,Grass,TRUE,0,University of Phoenix Stadium,70,40,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
14,12099,2014,2011-09-11,1,ARI,CAR,HOME,25,Kerry Rhodes,FS,DEF,Y,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6,0,0,7,0,0,0,0,DB,0,2055763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K.Rhodes,Grass,TRUE,0,University of Phoenix Stadium,70,40,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
15,9323,2014,2011-09-11,1,ARI,CAR,HOME,26,Chris Wells,RB,OFF,Y,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,18,90,5,1,22,4,4,12,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,100,3,0,1,0,0,1,RB,0,2055740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C.Wells,Grass,TRUE,0,University of Phoenix Stadium,70,40,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
16,3862,2014,2011-09-11,1,ARI,CAR,HOME,27,Michael Adams,CB,DEF,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,0,2055788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M.Adams,Grass,TRUE,0,University of Phoenix Stadium,70,40,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
17,956,2014,2011-09-11,1,ARI,CAR,HOME,29,Chester Taylor,RB,OFF,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RB,0,2055789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C.Taylor,Grass,TRUE,0,University of Phoenix Stadium,70,40,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
18,1741,2014,2011-09-11,1,ARI,CAR,HOME,31,Richard Marshall,CB,DEF,Y,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,0,0,3,0,0,0,0,DB,0,2055768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R.Marshall,Grass,TRUE,0,University of Phoenix Stadium,70,40,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
19,12850,2014,2011-09-11,1,ARI,CAR,HOME,32,Korey Lindsey,CB,DEF,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,0,2055790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K.Lindsey,Grass,TRUE,0,University of Phoenix Stadium,70,40,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
