SeasonType,Season,Week,Date,Team,Opponent,PointsAllowed,TouchdownsScored,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,Interceptions,InterceptionReturnYards,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,PuntReturnLong,KickReturns,KickReturnYards,KickReturnTouchdowns,KickReturnLong,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,FantasyPointsAllowed,QuarterbackFantasyPointsAllowed,RunningbackFantasyPointsAllowed,WideReceiverFantasyPointsAllowed,TightEndFantasyPointsAllowed,KickerFantasyPointsAllowed,BlockedKickReturnYards,FieldGoalReturnYards,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,IsGameOver,FantasyPoints,Stadium,Temperature,Humidity,WindSpeed,ThirdDownAttempts,ThirdDownConversions,FourthDownAttempts,FourthDownConversions,PointsAllowedByDefenseSpecialTeams,FanDuelSalary,DraftKingsSalary,FantasyDataSalary,VictivSalary,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,OffensiveYardsAllowed,YahooSalary,PlayerID,FantasyPointsYahoo,HeAy
1,2008,1,2008-09-07,JAX,TEN,17,0,45,13,1,3,2,1,0,0,0,2,23,0,0,0,2,45,0,29,4,138,0,51,0,0,55.2,7.4,28.9,3,10.9,5,0,0,1,4,0,0,TRUE,6,LP Field,78,58,0,13,3,1,0,17,\N,\N,\N,\N,0,6,6,309,\N,52,6,AWAY
1,2008,1,2008-09-07,KC,NE,17,0,45,16,2,16,2,1,2,8,0,0,0,0,0,0,1,7,0,7,4,98,0,31,0,0,61.52,14.42,20.7,19,2.4,5,0,0,4,6,0,0,TRUE,7,Gillette Stadium,75,64,15,13,7,0,0,17,\N,\N,\N,\N,0,7,7,338,\N,55,7,AWAY
1,2008,1,2008-09-07,MIA,NYJ,20,0,37,16,3,13,2,2,1,0,0,0,0,0,0,0,4,38,0,25,4,69,0,21,0,0,64.36,13.96,18.9,24.2,5.3,2,0,0,2,7,0,0,TRUE,6,Dolphins Stadium,88,59,14,13,5,1,1,20,\N,\N,\N,\N,0,6,6,293,\N,64,6,HOME
1,2008,1,2008-09-08,MIN,GB,24,0,38,12,0,0,1,1,0,0,0,0,0,0,1,0,4,13,0,9,3,60,0,22,0,0,60.82,20.62,18.3,14.2,1.7,6,0,0,2,5,0,0,TRUE,0,Lambeau Field,58,66,5,10,4,0,0,24,\N,\N,\N,\N,0,2,2,317,\N,67,2,AWAY
1,2008,1,2008-09-07,NE,KC,10,0,48,26,4,24,3,0,0,0,0,1,3,0,0,0,2,2,0,2,3,70,0,51,0,0,51.04,10.24,12.6,18.7,5.5,4,0,0,9,4,0,0,TRUE,10,Gillette Stadium,75,64,15,16,8,1,0,10,\N,\N,\N,\N,0,10,10,284,\N,21,10,HOME
1,2008,1,2008-09-07,NO,TB,20,0,45,9,2,15,4,0,0,-17,0,1,2,0,0,0,2,10,0,10,5,67,0,22,0,0,61.54,10.94,20.3,20.4,1.9,8,0,0,7,2,0,0,TRUE,5,Louisiana Superdome,87,69,0,12,2,1,0,14,\N,\N,\N,\N,0,5,5,352,\N,69,5,HOME
1,2008,1,2008-09-04,NYG,WAS,7,0,39,20,1,8,5,0,0,0,0,0,0,0,0,0,4,21,0,14,2,19,0,19,0,0,38.02,9.32,9.5,17.5,0.7,1,0,0,2,4,0,0,TRUE,5,Giants Stadium,85,50,10,13,3,2,1,7,\N,\N,\N,\N,0,5,5,209,\N,75,5,HOME
1,2008,1,2008-09-07,NYJ,MIA,14,0,43,2,4,23,8,1,0,-2,0,1,0,0,0,0,5,64,0,20,1,10,0,10,0,0,60.04,16.04,9.9,6.4,25.7,2,0,0,7,7,0,0,TRUE,7,Dolphins Stadium,88,59,14,13,3,2,1,14,\N,\N,\N,\N,0,7,7,277,\N,82,7,AWAY
1,2008,1,2008-09-08,OAK,DEN,41,0,34,14,0,0,0,1,0,-15,0,0,0,0,0,0,2,3,0,2,6,154,0,58,0,0,105.1,20.9,30.7,34.8,7.7,11,0,0,1,0,0,0,TRUE,-4,McAfee Coliseum,60,84,13,10,5,0,0,41,\N,\N,\N,\N,0,-4,-4,441,\N,83,-4,HOME
1,2008,1,2008-09-07,PHI,STL,3,0,29,8,4,27,7,1,0,0,0,0,0,0,0,0,9,97,0,60,1,15,0,15,0,0,28.72,6.32,7.4,4.3,7.7,3,0,0,4,6,0,0,TRUE,11,Lincoln Financial Field,80,49,11,11,0,0,0,3,\N,\N,\N,\N,0,11,11,166,\N,26,11,HOME
1,2008,1,2008-09-07,PIT,HOU,17,0,43,21,5,43,2,1,1,0,0,2,6,0,0,0,1,3,0,0,4,79,0,27,0,0,50.78,12.48,8.5,21.5,3.3,5,0,0,6,9,0,0,TRUE,12,Heinz Field,72,47,11,10,3,1,0,17,\N,\N,\N,\N,0,12,12,234,\N,28,12,HOME
1,2008,1,2008-09-07,SD,CAR,26,0,52,21,1,1,5,1,1,0,0,0,0,0,0,0,1,12,0,12,2,61,0,41,0,0,70.78,13.88,14.9,12,16,14,0,0,3,5,0,0,TRUE,3,Qualcomm Stadium,81,63,8,15,5,2,1,20,\N,\N,\N,\N,0,4,4,388,\N,84,4,HOME
1,2008,1,2008-09-07,SEA,BUF,34,0,43,26,1,2,7,0,0,0,0,0,0,0,1,0,4,54,0,21,4,106,0,39,0,0,66.7,12.5,18.5,14.5,11.2,10,0,0,2,4,0,0,TRUE,0,Ralph Wilson Stadium,66,65,11,16,4,1,1,34,\N,\N,\N,\N,0,2,2,338,\N,90,2,AWAY
1,2008,1,2008-09-07,SF,ARI,23,0,46,19,3,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64,0,44,0,0,65.48,11.48,19.8,22.7,0.5,11,0,0,7,4,0,0,TRUE,3,Candlestick Park,70,70,20,16,5,3,2,23,\N,\N,\N,\N,0,3,3,285,\N,93,3,HOME
1,2008,1,2008-09-07,STL,PHI,38,0,46,12,0,0,2,1,0,0,0,0,0,0,0,0,1,2,0,0,5,90,0,22,0,0,118.76,28.56,29.1,41.7,11.4,8,0,0,0,2,0,0,TRUE,-4,Lincoln Financial Field,80,49,11,14,8,0,0,38,\N,\N,\N,\N,0,-4,-4,522,\N,32,-4,AWAY
1,2008,1,2008-09-07,TB,NO,24,1,46,6,1,6,3,0,0,0,0,1,26,1,0,0,6,40,0,14,4,84,0,33,0,0,92.12,23.52,28.6,28.6,5.4,6,0,0,6,4,1,0,TRUE,9,Louisiana Superdome,87,69,0,13,5,0,0,24,\N,\N,\N,\N,0,9,9,438,\N,95,9,AWAY
1,2008,1,2008-09-07,TEN,JAX,10,0,43,14,7,60,5,1,1,0,0,2,1,0,0,0,2,15,0,8,2,33,0,21,0,0,41.4,6.8,15,12.7,2.9,4,0,0,11,8,0,0,TRUE,17,LP Field,78,58,0,14,5,1,1,10,\N,\N,\N,\N,0,17,17,189,\N,34,17,HOME
1,2008,1,2008-09-04,WAS,NYG,16,0,51,22,2,16,3,0,0,0,0,1,0,0,0,0,1,2,0,0,5,145,0,50,0,0,59.64,12.54,18.8,18.3,0,10,0,0,6,4,0,0,TRUE,5,Giants Stadium,85,50,10,14,7,0,0,16,\N,\N,\N,\N,0,5,5,354,\N,97,5,AWAY
1,2008,2,2008-09-14,ARI,MIA,10,0,43,4,2,15,4,1,0,0,0,0,0,0,0,0,2,18,0,16,1,27,0,27,0,0,42.26,7.76,13.8,13.5,3.2,4,0,0,8,5,0,0,TRUE,6,University of Phoenix Stadium,70,40,0,12,3,2,2,10,\N,\N,\N,\N,0,6,6,236,\N,1,6,HOME
1,2008,2,2008-09-14,ATL,TB,24,0,42,15,2,13,1,1,1,-8,0,0,0,0,0,0,3,43,0,37,4,84,0,24,0,0,64.8,8.3,31.9,6.5,12.1,6,0,0,6,5,0,0,TRUE,4,Raymond James Stadium,89,55,8,14,6,1,0,24,\N,\N,\N,\N,0,4,4,311,\N,2,4,AWAY
